id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4458961170276480,IoJQF19Vm,1649830891,菠萝包冰糖葫芦,分享@鑫雨霏霏的@绿洲动态：#早餐打卡#西安美食｜百年老字号同盛祥，国家元首都来西安正确的打开方式是先来一碗羊肉泡馍，先从...O绿洲,,,"鑫雨霏霏,绿洲",早餐打卡,0,0,0,2020-01-09 23:10,绿洲APP,['https://wx3.sinaimg.cn/large/62566bebly1gaqpq64a3qj20hs0buwf8.jpg'],,
4458880446376166,IoHKsqKJo,7368523784,杨凌头条,#中国年看西安#【7家老字号捧出拿手好菜让游客品尝正宗西安美食】东西南北贺新春，万人千桌团圆宴。春节，必不可少的就是团圆宴。1月8日，西安饭庄、老孙家饭庄、德发长、同盛祥、西安烤鸭店、春发生饭店、白云章饺子馆等西安7家传统老字号齐聚西安饭庄钟楼店，精心准备了各家的拿手好菜，并让部分市民品尝。此次活动旨在让从四面八方来西安过年的游客品尝到最正宗、最具历史文化的老字号美食。昨日，记者在西安饭庄见到了7位来自西安老字号的大厨，他们表示，要拿出看家本领，让市民和游客都能感受到西安美食的魅力。（西安发布）,,,,中国年 看西安,0,0,0,2020-01-09 17:50,微博 weibo.com,"['https://wx1.sinaimg.cn/large/0082FzDOly1gaqc4e94cyj30av07mmyb.jpg', 'https://wx2.sinaimg.cn/large/0082FzDOly1gaqc4ftvmqj30b507m74t.jpg']",,
4458837664966240,IoGDskPWE,3757167087,西安发布,#中国年看西安#【7家老字号捧出拿手好菜让游客品尝正宗西安美食】东西南北贺新春，万人千桌团圆宴。春节，必不可少的就是团圆宴。1月8日，西安饭庄、老孙家饭庄、德发长、同盛祥、西安烤鸭店、春发生饭店、白云章饺子馆等西安7家传统老字号齐聚西安饭庄钟楼店，精心准备了各家的拿手好菜，并让部分市民品尝。此次活动旨在让从四面八方来西安过年的游客品尝到最正宗、最具历史文化的老字号美食。昨日，记者在西安饭庄见到了7位来自西安老字号的大厨，他们表示，要拿出看家本领，让市民和游客都能感受到西安美食的魅力。,,,,中国年 看西安,8,5,16,2020-01-09 15:00,微博 weibo.com,"['https://wx3.sinaimg.cn/large/dff1d1efly1gaq079aylaj20b4084adb.jpg', 'https://wx1.sinaimg.cn/large/dff1d1efly1gaq079auvnj20b408540i.jpg']",,
4458805863161946,IoFOadgz8,5893853787,微曲江,2020年夜饭怎么吃？这些有格调又温馨的年夜饭好去处一定要来～齐聚大唐不夜城步行街的四家中华老字号：西安饭庄、德发长、同盛祥、春发生传递着最棒的西安味道，今年年夜饭，一起尝一尝最有历史的西安味儿吧！,,,,,0,0,1,2020-01-09 12:53,HUAWEI P20,"['https://wx4.sinaimg.cn/large/006qS0BRly1gaq7w30tlxj30u0190qc9.jpg', 'https://wx1.sinaimg.cn/large/006qS0BRly1gaq7w3hsbxj30u00ex0vy.jpg', 'https://wx3.sinaimg.cn/large/006qS0BRly1gaq7w3thhvj30q80h0gpo.jpg']",,
4458206380657256,Ioqdg2KYU,1656599057,冷兵器研究所,#城市故事#“给西安人一个馍他能夹住整个世界”！西安人爱吃馍是在全国都出名的。羊肉泡馍！作为陕西地区的代表性美食，同盛祥绝对的C位主咖。作为陕西地区的代表性美食，同盛祥牛羊肉泡馍制作技艺，于2008年入选第二批国家级非物质文化遗产名录，是西北五省餐饮企业。唯一获得国家级非物质文化遗产名录，保护单位，堪称泡馍界的老大哥！#看荐西安#,,,,"城市故事,看荐西安",4,4,16,2020-01-07 21:11,微博 weibo.com,"['https://wx3.sinaimg.cn/large/62bdb211ly1gaob1gbmktj20fi08mgvb.jpg', 'https://wx2.sinaimg.cn/large/62bdb211ly1gaob1gh9xlj20hd0apnb6.jpg', 'https://wx3.sinaimg.cn/large/62bdb211ly1gaob1gybs6j20jr0na7wh.jpg', 'https://wx4.sinaimg.cn/large/62bdb211ly1gaob1gmj14j20je0ak1a8.jpg', 'https://wx1.sinaimg.cn/large/62bdb211ly1gaob1gsjbjj20jj0i7nh0.jpg', 'https://wx3.sinaimg.cn/large/62bdb211ly1gaob1gfrsdj20k50ak7fl.jpg', 'https://wx3.sinaimg.cn/large/62bdb211ly1gaob1gfpcij20jm0jvx1o.jpg', 'https://wx3.sinaimg.cn/large/62bdb211ly1gaob1glxjgj20jz0hinkq.jpg', 'https://wx4.sinaimg.cn/large/62bdb211ly1gaob1h2n5sj20kd0d4njv.jpg']",,
4457890142165881,IohZc95rz,2519126055,赫连形Ethan,分享@鑫雨霏霏的@绿洲动态：#深夜放毒#美食｜去西安要吃哪家羊肉泡馍？听贾平凹的很早以前看贾平凹趣事，几个文人为了去同盛祥...O绿洲,,,"鑫雨霏霏,绿洲",深夜放毒,0,0,0,2020-01-07 00:14,绿洲APP,['https://wx2.sinaimg.cn/large/9626d027ly1ganapx4e0gj20pw0pwjwa.jpg'],,
4457848979262851,IogUNCRGP,1835716325,谢小妮nini,西安篇の【美食】—没有🍚系列羊蝎子，即羊脊髓，像红烧酱骨架，🉑试臊子面🍜，北方面条碱味比较重，个人比较喜欢，有点辣牛肉炒泡馍🥘，自己掰的泡馍，口感像猫耳朵饺子🥟—哪家都好，但强推同盛祥家的羊肉饺三秦套餐（肉夹馍+凉皮+冰峰）肉夹馍🥙猪牛羊馅，个人偏好肥瘦相间猪肉馅，强推樊记；凉皮随便哪家都🉑（除了麻酱凉皮）；冰峰其实就是当地新奇士烩菜，一锅熟🍲，一般，丸子不好吃油茶，因为看了韩国某大叔才心念念，但对咸油茶实在不感冒，加麻花会好接受小镜糕&毛笔酥，没有惊艳的感觉，有兴趣可试试牛奶鸡蛋醪糟，攀攀甜酒味，冬天可以来一碗葫芦鸡和六小碗，讲真，不推荐还有未出镜的水盆羊肉、biangbiang面（油泼裤带面）、锅盔（就是夹馅的烤饼）、烤羊肉串都🉑试小贴士：很多店家面汤都是自取；记得自带纸巾哦！,,,,,0,4,3,2020-01-06 21:31,HUAWEI nova 3i,"['https://wx1.sinaimg.cn/large/6d6acee5gy1gakohvp5ckj22o02o0kjn.jpg', 'https://wx2.sinaimg.cn/large/6d6acee5gy1gakoi0jkwdj22o02o07wj.jpg', 'https://wx4.sinaimg.cn/large/6d6acee5gy1gakohq48ggj20u0190kbw.jpg', 'https://wx3.sinaimg.cn/large/6d6acee5gy1gakohttxfoj22o02o0npe.jpg', 'https://wx2.sinaimg.cn/large/6d6acee5gy1gakohqpteaj20u0190trk.jpg', 'https://wx1.sinaimg.cn/large/6d6acee5gy1gakokqkjdhj20u00u0ag8.jpg', 'https://wx2.sinaimg.cn/large/6d6acee5gy1gakoi202o6j22o02o0e82.jpg', 'https://wx2.sinaimg.cn/large/6d6acee5gy1gakohphrrcj20u0190atg.jpg', 'https://wx4.sinaimg.cn/large/6d6acee5gy1gakoi5gmbxj22o02o0e82.jpg']",,
4457703818590046,Iod8FA2F8,5980195277,没有刘海儿的江流儿,同盛祥的羊肉泡馍真的超级无敌宇宙好吃!,,西安·西安钟鼓楼,,,0,2,6,2020-01-06 11:54,vivo X20全面屏手机,['https://wx3.sinaimg.cn/large/006wIhYxly1gampb5hdj5j30qo0k041n.jpg'],,
4457648092788725,IobGNbHtr,5902007652,美食养生,宵夜吃在同盛祥，这家店以”羊肉泡馍~麻酱凉皮“著称，每到饭点儿人超多，有时候食客们宁可拼桌也要吃上这么一口~每桌都有这么一份麻酱凉皮，别提多好吃了，从西安回北京，我都几乎不吃北京的凉皮了~陕西凉皮本就有名，各家有各家的特色，只要看到一家不起眼的小店，进去吃准没错，绝对不会失望！,,,,,0,0,0,2020-01-06 08:13,皮皮时光机,['https://wx4.sinaimg.cn/large/006rqdNOly1gamix9nc76j30aj07f42e.jpg'],,
4457389258128999,Io4Xjy6IT,2050785867,西安曲江旅游官方,2020年夜饭怎么吃？曲小旅已经给大家整理了一部分，有格调又温馨的年夜饭好去处～常来曲江朋友一定知道，齐聚大唐不夜城步行街的四家中华老字号：西安饭庄、德发长、同盛祥、春发生传递着最棒的西安味道今年年夜饭，一起尝一尝最有历史的西安味儿吧！福利来啦：在图文下方留言，说说你心中的年味，留言点赞排名前三名的幸运粉丝，各送上一张朱雀国家森林公园门票。截止时间为1月6日中午17点！O年夜饭|念念不忘，是家的味道～曲江年夜饭火热预订ing（内含福利）,,,,,2,1,1,2020-01-05 15:04,iPhone客户端,"['https://wx2.sinaimg.cn/large/7a3c824bly1galp54ra7qj20u0190qfn.jpg', 'https://wx2.sinaimg.cn/large/7a3c824bly1galp5583xuj20u00exb0x.jpg', 'https://wx3.sinaimg.cn/large/7a3c824bly1galp55ikq1j20q80h0jx9.jpg', 'https://wx4.sinaimg.cn/large/7a3c824bly1galp55twgmj20do18ggto.jpg', 'https://wx4.sinaimg.cn/large/7a3c824bly1galp5628eqj20dg18g7c0.jpg', 'https://wx1.sinaimg.cn/large/7a3c824bly1galp56c5k2j20dg18fah1.jpg', 'https://wx4.sinaimg.cn/large/7a3c824bly1galp56lj33j20a00hsq4q.jpg', 'https://wx1.sinaimg.cn/large/7a3c824bly1galp56tmkgj20b406s0tz.jpg', 'https://wx1.sinaimg.cn/large/7a3c824bly1galp54g94xj20p00godk5.jpg']",,
